A,B,C,D
6.2094e+05,1.4923e+12,41.813,-72.254
6.2094e+05,1.4923e+12,41.812,-72.252
6.2094e+05,1.4923e+12,41.814,-72.254
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.809,-72.249
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.805,-72.248
6.2094e+05,1.4923e+12,41.804,-72.249
6.2094e+05,1.4923e+12,41.804,-72.249
6.2094e+05,1.4923e+12,41.804,-72.249
6.2094e+05,1.4923e+12,41.804,-72.249
6.2094e+05,1.4923e+12,41.805,-72.249
6.2094e+05,1.4923e+12,41.811,-72.252
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.809,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.808,-72.25
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.807,-72.249
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4923e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.811,-72.251
6.2094e+05,1.4924e+12,41.812,-72.251
6.2094e+05,1.4924e+12,41.812,-72.252
6.2094e+05,1.4924e+12,41.814,-72.254
6.2094e+05,1.4924e+12,41.811,-72.254
6.2094e+05,1.4924e+12,41.814,-72.254
6.2094e+05,1.4924e+12,41.811,-72.254
6.2094e+05,1.4924e+12,41.814,-72.254
6.2094e+05,1.4924e+12,41.811,-72.254
6.2094e+05,1.4924e+12,41.813,-72.254
6.2094e+05,1.4924e+12,41.818,-72.26
6.2094e+05,1.4924e+12,41.811,-72.249
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.809,-72.249
6.2094e+05,1.4924e+12,41.808,-72.25
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.807,-72.249
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.809,-72.248
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.809,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.808,-72.25
6.2094e+05,1.4924e+12,41.808,-72.252
6.2094e+05,1.4924e+12,41.807,-72.254
6.2094e+05,1.4924e+12,41.807,-72.253
6.2094e+05,1.4924e+12,41.807,-72.254
6.2094e+05,1.4924e+12,41.808,-72.253
6.2094e+05,1.4924e+12,41.807,-72.254
6.2094e+05,1.4924e+12,41.807,-72.255
6.2094e+05,1.4924e+12,41.807,-72.255
6.2094e+05,1.4924e+12,41.809,-72.252
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.811,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.247
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
6.2094e+05,1.4924e+12,41.81,-72.248
